GAME_ID,OFFICIAL_ID,OFFICIAL_NAME,FIRST_NAME,LAST_NAME,JERSEY_NUM,SEASON_TYPE,POSTSEASON_STAGE,POSTSEASON_SEASON_TYPE,SPECIAL_SITE
0022100001,201639,Josh Tiven,Josh,Tiven,58,Regular Season,Regular Season,Regular Season,0
0022100001,1627541,Natalie Sago,Natalie,Sago,9,Regular Season,Regular Season,Regular Season,0
0022100001,1627962,Jacyn Goble,Jacyn,Goble,68,Regular Season,Regular Season,Regular Season,0
0022100002,2882,Sean Wright,Sean,Wright,4,Regular Season,Regular Season,Regular Season,0
0022100002,200834,Mark Lindsay,Mark,Lindsay,29,Regular Season,Regular Season,Regular Season,0
0022100002,1626300,Ray Acosta,Ray,Acosta,54,Regular Season,Regular Season,Regular Season,0
0022100003,1179,Rodney Mott,Rodney,Mott,71,Regular Season,Regular Season,Regular Season,0
0022100003,1198,Scott Wall,Scott,Wall,31,Regular Season,Regular Season,Regular Season,0
0022100003,1627524,Nate Green,Nate,Green,65,Regular Season,Regular Season,Regular Season,0
0022100004,1204,Derek Richardson,Derek,Richardson,63,Regular Season,Regular Season,Regular Season,0
0022100004,204059,Tyler Ford,Tyler,Ford,39,Regular Season,Regular Season,Regular Season,0
0022100004,1628159,Mousa Dagher,Mousa,Dagher,28,Regular Season,Regular Season,Regular Season,0
0022100005,1162,Scott Foster,Scott,Foster,48,Regular Season,Regular Season,Regular Season,0
0022100005,2530,Ed Malloy,Ed,Malloy,14,Regular Season,Regular Season,Regular Season,0
0022100005,203177,Lauren Holtkamp,Lauren,Holtkamp,7,Regular Season,Regular Season,Regular Season,0
0022100006,1662,Bill Kennedy,Bill,Kennedy,55,Regular Season,Regular Season,Regular Season,0
0022100006,200833,Eric Dalen,Eric,Dalen,37,Regular Season,Regular Season,Regular Season,0
0022100006,1628951,John Butler,John,Butler,53,Regular Season,Regular Season,Regular Season,0
0022100007,1193,Michael Smith,Michael,Smith,38,Regular Season,Regular Season,Regular Season,0
0022100007,202041,Kevin Scott,Kevin,Scott,24,Regular Season,Regular Season,Regular Season,0
0022100007,1627519,John Conley,John,Conley,79,Regular Season,Regular Season,Regular Season,0
0022100008,200832,Curtis Blair,Curtis,Blair,74,Regular Season,Regular Season,Regular Season,0
0022100008,202027,Tre Maddox,Tre,Maddox,23,Regular Season,Regular Season,Regular Season,0
0022100008,1628481,Simone Jelks,Simone,Jelks,81,Regular Season,Regular Season,Regular Season,0
0022100009,2004,Courtney Kirkland,Courtney,Kirkland,61,Regular Season,Regular Season,Regular Season,0
0022100009,202026,Karl Lane,Karl,Lane,77,Regular Season,Regular Season,Regular Season,0
0022100009,1628487,Danielle Scott,Danielle,Scott,87,Regular Season,Regular Season,Regular Season,0
0022100010,1151,Sean Corbin,Sean,Corbin,33,Regular Season,Regular Season,Regular Season,0
0022100010,202049,Ben Taylor,Ben,Taylor,46,Regular Season,Regular Season,Regular Season,0
0022100010,1628954,Jenna Schroeder,Jenna,Schroeder,84,Regular Season,Regular Season,Regular Season,0
0022100011,2534,Zach Zarba,Zach,Zarba,15,Regular Season,Regular Season,Regular Season,0
0022100011,200834,Mark Lindsay,Mark,Lindsay,29,Regular Season,Regular Season,Regular Season,0
0022100011,1626300,Ray Acosta,Ray,Acosta,54,Regular Season,Regular Season,Regular Season,0
0022100012,1201,Leon Wood,Leon,Wood,40,Regular Season,Regular Season,Regular Season,0
0022100012,1830,Marc Davis,Marc,Davis,8,Regular Season,Regular Season,Regular Season,0
0022100012,201246,Kevin Cutler,Kevin,Cutler,34,Regular Season,Regular Season,Regular Season,0
0022100013,2882,Sean Wright,Sean,Wright,4,Regular Season,Regular Season,Regular Season,0
0022100013,202007,Nick Buchert,Nick,Buchert,3,Regular Season,Regular Season,Regular Season,0
0022100013,1627963,Phenizee Ransom,Phenizee,Ransom,70,Regular Season,Regular Season,Regular Season,0
0022100014,1148,James Capers,James,Capers,19,Regular Season,Regular Season,Regular Season,0
0022100014,202053,Scott Twardoski,Scott,Twardoski,52,Regular Season,Regular Season,Regular Season,0
0022100014,203592,Dedric Taylor,Dedric,Taylor,21,Regular Season,Regular Season,Regular Season,0
0022100015,2714,David Guthrie,David,Guthrie,16,Regular Season,Regular Season,Regular Season,0
0022100015,203591,Mitchell Ervin,Mitchell,Ervin,27,Regular Season,Regular Season,Regular Season,0
0022100015,1627964,Jonathan Sterling,Jonathan,Sterling,17,Regular Season,Regular Season,Regular Season,0
0022100016,1199,Tom Washington,Tom,Washington,49,Regular Season,Regular Season,Regular Season,0
0022100016,2534,Zach Zarba,Zach,Zarba,15,Regular Season,Regular Season,Regular Season,0
0022100016,203593,Justin Van Duyne,Justin,Van Duyne,64,Regular Season,Regular Season,Regular Season,0
0022100017,1662,Bill Kennedy,Bill,Kennedy,55,Regular Season,Regular Season,Regular Season,0
0022100017,200833,Eric Dalen,Eric,Dalen,37,Regular Season,Regular Season,Regular Season,0
0022100017,1628951,John Butler,John,Butler,53,Regular Season,Regular Season,Regular Season,0
0022100018,1155,JB DeRosa,JB,DeRosa,62,Regular Season,Regular Season,Regular Season,0
0022100018,1179,Rodney Mott,Rodney,Mott,71,Regular Season,Regular Season,Regular Season,0
0022100018,1363,Bennie Adams,Bennie,Adams,47,Regular Season,Regular Season,Regular Season,0
0022100019,2715,Eric Lewis,Eric,Lewis,42,Regular Season,Regular Season,Regular Season,0
0022100019,204058,Gediminas Petraitis,Gediminas,Petraitis,50,Regular Season,Regular Season,Regular Season,0
0022100019,1628159,Mousa Dagher,Mousa,Dagher,28,Regular Season,Regular Season,Regular Season,0
0022100020,1204,Derek Richardson,Derek,Richardson,63,Regular Season,Regular Season,Regular Season,0
0022100020,101283,Brian Forte,Brian,Forte,45,Regular Season,Regular Season,Regular Season,0
0022100020,200832,Curtis Blair,Curtis,Blair,74,Regular Season,Regular Season,Regular Season,0
0022100021,2714,David Guthrie,David,Guthrie,16,Regular Season,Regular Season,Regular Season,0
0022100021,201245,Marat Kogut,Marat,Kogut,32,Regular Season,Regular Season,Regular Season,0
0022100021,202027,Tre Maddox,Tre,Maddox,23,Regular Season,Regular Season,Regular Season,0
0022100022,1162,Scott Foster,Scott,Foster,48,Regular Season,Regular Season,Regular Season,0
0022100022,1627962,Jacyn Goble,Jacyn,Goble,68,Regular Season,Regular Season,Regular Season,0
